Class,Xstreams,Threads,Time(s),Time(nanos),Status
S,1,1,.03000000000000000000,26663000.00000000000000000000,SUCCESSFUL
S,2,2,.09000000000000000000,44377666.66666666666666666666,SUCCESSFUL
S,4,4,.22666666666666666666,56894333.33333333333333333333,SUCCESSFUL
S,7,7,.48000000000000000000,68394000.00000000000000000000,SUCCESSFUL
S,8,8,.61666666666666666666,76847666.66666666666666666666,SUCCESSFUL
S,14,14,1.37666666666666666666,98361666.66666666666666666666,SUCCESSFUL
S,28,28,5.75666666666666666666,205845333.33333333333333333333,SUCCESSFUL
W,1,1,.17666666666666666666,177869333.33333333333333333333,SUCCESSFUL
W,2,2,.19000000000000000000,95728000.00000000000000000000,SUCCESSFUL
W,4,4,.22666666666666666666,57017666.66666666666666666666,SUCCESSFUL
W,7,7,.38666666666666666666,55415666.66666666666666666666,SUCCESSFUL
W,8,8,.47333333333333333333,59483000.00000000000000000000,SUCCESSFUL
W,14,14,1.19000000000000000000,84900333.33333333333333333333,SUCCESSFUL
W,28,28,5.48333333333333333333,196071666.66666666666666666666,SUCCESSFUL
A,1,1,.75666666666666666666,755488000.00000000000000000000,SUCCESSFUL
A,2,2,.82666666666666666666,412734333.33333333333333333333,SUCCESSFUL
A,4,4,.81666666666666666666,204572666.66666666666666666666,SUCCESSFUL
A,7,7,.90333333333333333333,129047333.33333333333333333333,SUCCESSFUL
A,8,8,1.00000000000000000000,125073333.33333333333333333333,SUCCESSFUL
A,14,14,1.73000000000000000000,123761333.33333333333333333333,SUCCESSFUL
A,28,28,5.89666666666666666666,211236000.00000000000000000000,SUCCESSFUL
B,1,1,42.60666666666666666666,42609141333.33333333333333333333,SUCCESSFUL
B,2,2,43.79666666666666666666,21898398666.66666666666666666666,SUCCESSFUL
B,4,4,45.75666666666666666666,11438936333.33333333333333333333,SUCCESSFUL
B,7,7,50.99000000000000000000,7284389666.66666666666666666666,SUCCESSFUL
B,8,8,55.27333333333333333333,6909234333.33333333333333333333,SUCCESSFUL
B,14,14,85.40333333333333333333,6100446333.33333333333333333333,SUCCESSFUL
B,28,28,183.51000000000000000000,6575228000.00000000000000000000,SUCCESSFUL
C,1,1,202.29666666666666666666,202302043666.66666666666666666666,SUCCESSFUL
C,2,2,208.17000000000000000000,104087547000.00000000000000000000,SUCCESSFUL
C,4,4,213.86666666666666666666,53466679000.00000000000000000000,SUCCESSFUL
C,7,7,228.59000000000000000000,32655920666.66666666666666666666,SUCCESSFUL
C,8,8,234.76000000000000000000,29345248333.33333333333333333333,SUCCESSFUL
C,14,14,294.42333333333333333333,21030793666.66666666666666666666,SUCCESSFUL
C,28,28,559.94000000000000000000,20056527000.00000000000000000000,SUCCESSFUL
