Class,Xstreams,Threads,Time(s),Time(nanos),Status
S,1,1,.03666666666666666666,36553333.33333333333333333333,SUCCESSFUL
S,2,2,.04000000000000000000,21447666.66666666666666666666,SUCCESSFUL
S,3,3,.05666666666666666666,18744000.00000000000000000000,SUCCESSFUL
S,4,4,.07333333333333333333,18439333.33333333333333333333,SUCCESSFUL
S,5,5,.10000000000000000000,20731000.00000000000000000000,SUCCESSFUL
S,6,6,.13000000000000000000,21374000.00000000000000000000,SUCCESSFUL
S,7,7,.17000000000000000000,24266000.00000000000000000000,SUCCESSFUL
S,8,8,.20000000000000000000,25111333.33333333333333333333,SUCCESSFUL
W,1,1,.25333333333333333333,252069666.66666666666666666666,SUCCESSFUL
W,2,2,.26000000000000000000,129659000.00000000000000000000,SUCCESSFUL
W,3,3,.28333333333333333333,95186000.00000000000000000000,SUCCESSFUL
W,4,4,.36000000000000000000,89220000.00000000000000000000,SUCCESSFUL
W,5,5,.38000000000000000000,77050333.33333333333333333333,SUCCESSFUL
W,6,6,.41333333333333333333,69779333.33333333333333333333,SUCCESSFUL
W,7,7,.48000000000000000000,69481666.66666666666666666666,SUCCESSFUL
W,8,8,.83333333333333333333,112775666.66666666666666666666,SUCCESSFUL
A,1,1,1.02666666666666666666,1024408333.33333333333333333333,SUCCESSFUL
A,2,2,1.07000000000000000000,536154333.33333333333333333333,SUCCESSFUL
A,3,3,1.12666666666666666666,375945666.66666666666666666666,SUCCESSFUL
A,4,4,1.33666666666666666666,334712000.00000000000000000000,SUCCESSFUL
A,5,5,1.43000000000000000000,290805333.33333333333333333333,SUCCESSFUL
A,6,6,1.95666666666666666666,347749666.66666666666666666666,SUCCESSFUL
A,7,7,2.65333333333333333333,420641666.66666666666666666666,SUCCESSFUL
A,8,8,7.12666666666666666666,1014610333.33333333333333333333,SUCCESSFUL
B,1,1,43.13666666666666666666,43136270333.33333333333333333333,SUCCESSFUL
B,2,2,45.19666666666666666666,22600492000.00000000000000000000,SUCCESSFUL
B,3,3,45.95333333333333333333,15318951666.66666666666666666666,SUCCESSFUL
B,4,4,47.69666666666666666666,11925198333.33333333333333333333,SUCCESSFUL
B,5,5,64.55333333333333333333,12915200666.66666666666666666666,SUCCESSFUL
B,6,6,65.76666666666666666666,10964559000.00000000000000000000,SUCCESSFUL
B,7,7,67.47333333333333333333,9695004666.66666666666666666666,SUCCESSFUL
B,8,8,82.26000000000000000000,10624370000.00000000000000000000,SUCCESSFUL
C,1,1,139.20666666666666666666,139216099000.00000000000000000000,SUCCESSFUL
C,2,2,142.56000000000000000000,71282399000.00000000000000000000,SUCCESSFUL
C,3,3,145.83000000000000000000,48614636666.66666666666666666666,SUCCESSFUL
C,4,4,151.83000000000000000000,37959853666.66666666666666666666,SUCCESSFUL
C,5,5,237.84000000000000000000,47574071333.33333333333333333333,SUCCESSFUL
C,6,6,242.85000000000000000000,40512556666.66666666666666666666,SUCCESSFUL
C,7,7,243.51000000000000000000,34818385333.33333333333333333333,SUCCESSFUL
C,8,8,258.16666666666666666666,32612054666.66666666666666666666,SUCCESSFUL
