Class,Xstreams,Threads,Time(s),Time(nanos),Status
S,1,1,.03000000000000000000,34885666.66666666666666666666,SUCCESSFUL
S,2,2,.04000000000000000000,20830000.00000000000000000000,SUCCESSFUL
S,3,3,.05666666666666666666,18428000.00000000000000000000,SUCCESSFUL
S,4,4,.06333333333333333333,16238666.66666666666666666666,SUCCESSFUL
S,5,5,.08000000000000000000,15534333.33333333333333333333,SUCCESSFUL
S,6,6,.11333333333333333333,19267000.00000000000000000000,SUCCESSFUL
S,7,7,.23333333333333333333,37560333.33333333333333333333,SUCCESSFUL
S,8,8,.97333333333333333333,151370333.33333333333333333333,SUCCESSFUL
W,1,1,.24333333333333333333,244328000.00000000000000000000,SUCCESSFUL
W,2,2,.26333333333333333333,131432666.66666666666666666666,SUCCESSFUL
W,3,3,.29000000000000000000,97888000.00000000000000000000,SUCCESSFUL
W,4,4,.35000000000000000000,86902333.33333333333333333333,SUCCESSFUL
W,5,5,.36333333333333333333,72975333.33333333333333333333,SUCCESSFUL
W,6,6,.38000000000000000000,64073000.00000000000000000000,SUCCESSFUL
W,7,7,.44000000000000000000,64168000.00000000000000000000,SUCCESSFUL
W,8,8,1.39333333333333333333,203193000.00000000000000000000,SUCCESSFUL
A,1,1,1.04000000000000000000,1042765333.33333333333333333333,SUCCESSFUL
A,2,2,1.04666666666666666666,522584333.33333333333333333333,SUCCESSFUL
A,3,3,1.09000000000000000000,363332000.00000000000000000000,SUCCESSFUL
A,4,4,1.21666666666666666666,304241000.00000000000000000000,SUCCESSFUL
A,5,5,1.32666666666666666666,265301333.33333333333333333333,SUCCESSFUL
A,6,6,1.40000000000000000000,235583666.66666666666666666666,SUCCESSFUL
A,7,7,2.14666666666666666666,334819000.00000000000000000000,SUCCESSFUL
A,8,8,3.55666666666666666666,509245000.00000000000000000000,SUCCESSFUL
B,1,1,43.12666666666666666666,43129789333.33333333333333333333,SUCCESSFUL
B,2,2,44.74333333333333333333,22373984333.33333333333333333333,SUCCESSFUL
B,3,3,45.70666666666666666666,15237106000.00000000000000000000,SUCCESSFUL
B,4,4,46.83666666666666666666,11709367333.33333333333333333333,SUCCESSFUL
B,5,5,64.18000000000000000000,12840349000.00000000000000000000,SUCCESSFUL
B,6,6,65.22333333333333333333,10871659333.33333333333333333333,SUCCESSFUL
B,7,7,66.62333333333333333333,9540223333.33333333333333333333,SUCCESSFUL
B,8,8,70.12666666666666666666,8843234333.33333333333333333333,SUCCESSFUL
C,1,1,138.73666666666666666666,138746921000.00000000000000000000,SUCCESSFUL
C,2,2,143.36333333333333333333,71685646333.33333333333333333333,SUCCESSFUL
C,3,3,146.62333333333333333333,48876389333.33333333333333333333,SUCCESSFUL
C,4,4,152.46333333333333333333,38119292000.00000000000000000000,SUCCESSFUL
C,5,5,237.21666666666666666666,47452917666.66666666666666666666,SUCCESSFUL
C,6,6,242.64666666666666666666,40463718000.00000000000000000000,SUCCESSFUL
C,7,7,245.76666666666666666666,35147915666.66666666666666666666,SUCCESSFUL
C,8,8,257.00000000000000000000,32474109000.00000000000000000000,SUCCESSFUL
