Class,Xstreams,Threads,Time(s),Time(nanos),Status
S,1,1,.03000000000000000000,29502383.66666666666666666666,SUCCESSFUL
S,2,1,.09000000000000000000,45514795.34666666666666666666,SUCCESSFUL
S,4,1,.21333333333333333333,53782262.00666666666666666666,SUCCESSFUL
S,7,1,.40666666666666666666,57890508.69666666666666666666,SUCCESSFUL
S,8,1,.49333333333333333333,61374497.32666666666666666666,SUCCESSFUL
S,14,1,.92666666666666666666,66358904.66666666666666666666,SUCCESSFUL
S,28,1,2.29333333333333333333,82270929.67000000000000000000,SUCCESSFUL
W,1,1,.18666666666666666666,187744586.67000000000000000000,SUCCESSFUL
W,2,1,.20000000000000000000,98411203.65333333333333333333,SUCCESSFUL
W,4,1,.22000000000000000000,55355531.65000000000000000000,SUCCESSFUL
W,7,1,.35333333333333333333,50440852.02666666666666666666,SUCCESSFUL
W,8,1,.44666666666666666666,56052892.00000000000000000000,SUCCESSFUL
W,14,1,.81000000000000000000,58227698.68666666666666666666,SUCCESSFUL
W,28,1,3.14666666666666666666,114653262.00000000000000000000,SUCCESSFUL
A,1,1,.76333333333333333333,765818413.67666666666666666666,SUCCESSFUL
A,2,1,.82666666666666666666,413245843.66666666666666666666,SUCCESSFUL
A,4,1,.84000000000000000000,209951700.64333333333333333333,SUCCESSFUL
A,7,1,.89333333333333333333,127620942.68000000000000000000,SUCCESSFUL
A,8,1,.99000000000000000000,123008903.64000000000000000000,SUCCESSFUL
A,14,1,1.39333333333333333333,99542878.66666666666666666666,SUCCESSFUL
A,28,1,1.77333333333333333333,63148337.99666666666666666666,SUCCESSFUL
B,1,1,43.49000000000000000000,43494483615.68000000000000000000,SUCCESSFUL
B,2,1,45.45333333333333333333,22743328266.99000000000000000000,SUCCESSFUL
B,4,1,44.36333333333333333333,11091315307.98333333333333333333,SUCCESSFUL
B,7,1,48.41333333333333333333,6936499418.34333333333333333333,SUCCESSFUL
B,8,1,50.70333333333333333333,6345667033.01000000000000000000,SUCCESSFUL
B,14,1,78.98333333333333333333,5651688841.97000000000000000000,SUCCESSFUL
B,28,1,161.45333333333333333333,5823755775.32666666666666666666,SUCCESSFUL
C,1,1,208.80666666666666666666,208820373243.65000000000000000000,SUCCESSFUL
C,2,1,210.61000000000000000000,105318409640.34333333333333333333,SUCCESSFUL
C,4,1,219.21666666666666666666,54838411083.66000000000000000000,SUCCESSFUL
C,7,1,231.37000000000000000000,33079632889.32333333333333333333,SUCCESSFUL
C,8,1,238.72000000000000000000,29973871580.32333333333333333333,SUCCESSFUL
C,14,1,287.53000000000000000000,21929645336.67666666666666666666,SUCCESSFUL
C,28,1,562.94666666666666666666,20522607620.69000000000000000000,SUCCESSFUL
