Class,Xstreams,Threads,Time(s),Time(nanos),Status
S,1,1,.03666666666666666666,35675358.65000000000000000000,SUCCESSFUL
S,2,1,.04000000000000000000,19191927.58666666666666666666,SUCCESSFUL
S,3,1,.04000000000000000000,13364978.13333333333333333333,SUCCESSFUL
S,4,1,.04000000000000000000,10683508.58666666666666666666,SUCCESSFUL
S,5,1,.06000000000000000000,12568678.08666666666666666666,SUCCESSFUL
S,6,1,.07000000000000000000,11044262.60000000000000000000,SUCCESSFUL
S,7,1,.07333333333333333333,10224249.83333333333333333333,SUCCESSFUL
S,8,1,.08000000000000000000,9968996.04666666666666666666,SUCCESSFUL
S,16,1,.39666666666666666666,102465078.85666666666666666666,SUCCESSFUL
W,1,1,.24000000000000000000,239002387.97000000000000000000,SUCCESSFUL
W,2,1,.25000000000000000000,124406015.50000000000000000000,SUCCESSFUL
W,3,1,.25000000000000000000,84616056.33333333333333333333,SUCCESSFUL
W,4,1,.26000000000000000000,64201978.34666666666666666666,SUCCESSFUL
W,5,1,.36000000000000000000,72144159.42666666666666666666,SUCCESSFUL
W,6,1,.37000000000000000000,61925193.91666666666666666666,SUCCESSFUL
W,7,1,.37000000000000000000,53157881.52333333333333333333,SUCCESSFUL
W,8,1,.40333333333333333333,51300720.00333333333333333333,SUCCESSFUL
W,16,1,.70666666666666666666,152611674.12000000000000000000,SUCCESSFUL
A,1,1,.98000000000000000000,981415272.38333333333333333333,SUCCESSFUL
A,2,1,1.00333333333333333333,502403169.87000000000000000000,SUCCESSFUL
A,3,1,.99000000000000000000,330059180.65666666666666666666,SUCCESSFUL
A,4,1,.98333333333333333333,246476765.72333333333333333333,SUCCESSFUL
A,5,1,1.32333333333333333333,264906115.20666666666666666666,SUCCESSFUL
A,6,1,1.33333333333333333333,221534162.13666666666666666666,SUCCESSFUL
A,7,1,1.32666666666666666666,190030278.01666666666666666666,SUCCESSFUL
A,8,1,1.35666666666666666666,169841046.75666666666666666666,SUCCESSFUL
A,16,1,1.67000000000000000000,303159174.20000000000000000000,SUCCESSFUL
B,1,1,42.39333333333333333333,42394103139.63666666666666666666,SUCCESSFUL
B,2,1,44.10000000000000000000,22051448565.60000000000000000000,SUCCESSFUL
B,3,1,44.53666666666666666666,14847027699.15000000000000000000,SUCCESSFUL
B,4,1,45.21333333333333333333,11303637235.73333333333333333333,SUCCESSFUL
B,5,1,64.35333333333333333333,12871814204.38000000000000000000,SUCCESSFUL
B,6,1,65.38333333333333333333,10898069296.65333333333333333333,SUCCESSFUL
B,7,1,65.56000000000000000000,9368019064.88666666666666666666,SUCCESSFUL
B,8,1,67.51000000000000000000,8460101458.55333333333333333333,SUCCESSFUL
B,16,1,67.21000000000000000000,8927852145.70666666666666666666,SUCCESSFUL
C,1,1,140.08000000000000000000,140089454878.12000000000000000000,SUCCESSFUL
C,2,1,143.97333333333333333333,71991916807.99333333333333333333,SUCCESSFUL
C,3,1,147.06666666666666666666,49024850973.23666666666666666666,SUCCESSFUL
C,4,1,150.99333333333333333333,37750118482.86000000000000000000,SUCCESSFUL
C,5,1,220.64333333333333333333,48328003291.66333333333333333333,SUCCESSFUL
C,6,1,236.92333333333333333333,41000171485.04666666666666666666,SUCCESSFUL
C,7,1,245.83000000000000000000,35494071348.26000000000000000000,SUCCESSFUL
C,8,1,252.42000000000000000000,31573452824.72666666666666666666,SUCCESSFUL
C,16,1,249.19333333333333333333,33798369541.76333333333333333333,SUCCESSFUL
