Xstreams,Threads,Time(s),Time(nanos),Status
1,1,14.14000000000000000000,14140039376.33333333333333333333,SUCCESSFUL
1,2,14.11000000000000000000,14111245948.00000000000000000000,SUCCESSFUL
1,3,14.07333333333333333333,14074589147.66666666666666666666,SUCCESSFUL
1,4,14.21666666666666666666,14214391844.00000000000000000000,SUCCESSFUL
1,5,14.19333333333333333333,14192370683.00000000000000000000,SUCCESSFUL
1,6,14.15000000000000000000,14151265521.66666666666666666666,SUCCESSFUL
1,7,14.15000000000000000000,14149454344.33333333333333333333,SUCCESSFUL
1,8,14.13000000000000000000,14130424133.66666666666666666666,SUCCESSFUL
2,1,28.28333333333333333333,14142379655.66666666666666666666,SUCCESSFUL
2,2,14.63666666666666666666,7320419855.33333333333333333333,SUCCESSFUL
2,3,19.12666666666666666666,9563825552.00000000000000000000,SUCCESSFUL
2,4,14.70333333333333333333,7351952410.33333333333333333333,SUCCESSFUL
2,5,17.46666666666666666666,8735993123.66666666666666666666,SUCCESSFUL
2,6,14.71333333333333333333,7356496289.66666666666666666666,SUCCESSFUL
2,7,16.86666666666666666666,8435852974.33333333333333333333,SUCCESSFUL
2,8,14.91666666666666666666,7459181759.33333333333333333333,SUCCESSFUL
3,1,42.82666666666666666666,14276304162.66666666666666666666,SUCCESSFUL
3,2,22.11666666666666666666,7373333404.66666666666666666666,SUCCESSFUL
3,3,15.34333333333333333333,5114969971.66666666666666666666,SUCCESSFUL
3,4,22.25333333333333333333,7417746850.33333333333333333333,SUCCESSFUL
3,5,18.28000000000000000000,6094520625.33333333333333333333,SUCCESSFUL
3,6,15.60333333333333333333,5202190866.00000000000000000000,SUCCESSFUL
3,7,19.75000000000000000000,6584824957.66666666666666666666,SUCCESSFUL
3,8,17.50333333333333333333,5834586815.00000000000000000000,SUCCESSFUL
4,1,57.83666666666666666666,14459680078.66666666666666666666,SUCCESSFUL
4,2,30.18000000000000000000,7545150888.66666666666666666666,SUCCESSFUL
4,3,20.85000000000000000000,5212627749.66666666666666666666,SUCCESSFUL
4,4,16.28666666666666666666,4071458566.66666666666666666666,SUCCESSFUL
4,5,24.42666666666666666666,6107152288.33333333333333333333,SUCCESSFUL
4,6,21.03666666666666666666,5259539147.33333333333333333333,SUCCESSFUL
4,7,18.22333333333333333333,4556064122.66666666666666666666,SUCCESSFUL
4,8,16.46333333333333333333,4115656453.00000000000000000000,SUCCESSFUL
8,1,159.74000000000000000000,20123156154.66666666666666666666,SUCCESSFUL
8,2,82.04000000000000000000,10349210615.33333333333333333333,SUCCESSFUL
8,3,58.56333333333333333333,7410588097.66666666666666666666,SUCCESSFUL
8,4,45.06000000000000000000,5689114962.33333333333333333333,SUCCESSFUL
8,5,39.76666666666666666666,5019965728.00000000000000000000,SUCCESSFUL
8,6,34.94000000000000000000,4418257007.00000000000000000000,SUCCESSFUL
8,7,30.84666666666666666666,3898902524.00000000000000000000,SUCCESSFUL
8,8,29.00333333333333333333,3706208441.66666666666666666666,SUCCESSFUL
