Xstreams,Threads,Time(s),Time(nanos),Status
1,1,10.66000000000000000000,10659391880.66666666666666666666,SUCCESSFUL
1,2,10.69666666666666666666,10694486489.00000000000000000000,SUCCESSFUL
1,4,10.73333333333333333333,10732587051.33333333333333333333,SUCCESSFUL
1,7,10.69666666666666666666,10697762032.66666666666666666666,SUCCESSFUL
1,8,10.66666666666666666666,10665178886.66666666666666666666,SUCCESSFUL
1,14,10.69666666666666666666,10695546387.00000000000000000000,SUCCESSFUL
1,28,10.70666666666666666666,10707259353.33333333333333333333,SUCCESSFUL
2,1,21.71000000000000000000,10855260753.33333333333333333333,SUCCESSFUL
2,2,11.35000000000000000000,5675565785.00000000000000000000,SUCCESSFUL
2,4,11.34333333333333333333,5672069919.33333333333333333333,SUCCESSFUL
2,7,12.84333333333333333333,6422488671.33333333333333333333,SUCCESSFUL
2,8,11.51666666666666666666,5757642433.33333333333333333333,SUCCESSFUL
2,14,11.46000000000000000000,5730941686.66666666666666666666,SUCCESSFUL
2,28,11.95666666666666666666,5979034763.00000000000000000000,SUCCESSFUL
4,1,44.18333333333333333333,11046373011.66666666666666666666,SUCCESSFUL
4,2,22.77333333333333333333,5694053639.33333333333333333333,SUCCESSFUL
4,4,13.04000000000000000000,3259428881.00000000000000000000,SUCCESSFUL
4,7,14.63000000000000000000,3657089210.00000000000000000000,SUCCESSFUL
4,8,13.55000000000000000000,3388204927.33333333333333333333,SUCCESSFUL
4,14,14.83333333333333333333,3708064707.66666666666666666666,SUCCESSFUL
4,28,14.69000000000000000000,3672883795.00000000000000000000,SUCCESSFUL
7,1,79.51666666666666666666,11360003271.33333333333333333333,SUCCESSFUL
7,2,41.19000000000000000000,5884673146.00000000000000000000,SUCCESSFUL
7,4,23.31333333333333333333,3330643946.33333333333333333333,SUCCESSFUL
7,7,20.00333333333333333333,2857980893.00000000000000000000,SUCCESSFUL
7,8,27.36666666666666666666,3909774928.33333333333333333333,SUCCESSFUL
7,14,19.96000000000000000000,2851807733.66666666666666666666,SUCCESSFUL
7,28,22.44333333333333333333,3206677936.33333333333333333333,SUCCESSFUL
8,1,94.01666666666666666666,11752547819.66666666666666666666,SUCCESSFUL
8,2,48.80000000000000000000,6099225522.00000000000000000000,SUCCESSFUL
8,4,27.21000000000000000000,3401964799.33333333333333333333,SUCCESSFUL
8,7,22.68000000000000000000,2835726751.33333333333333333333,SUCCESSFUL
8,8,22.71333333333333333333,2839489837.66666666666666666666,SUCCESSFUL
8,14,23.40333333333333333333,2926308563.66666666666666666666,SUCCESSFUL
8,28,26.49666666666666666666,3313425316.00000000000000000000,SUCCESSFUL
14,1,174.56333333333333333333,12470336721.33333333333333333333,SUCCESSFUL
14,2,88.78333333333333333333,6341498795.66666666666666666666,SUCCESSFUL
14,4,49.60666666666666666666,3543169936.00000000000000000000,SUCCESSFUL
14,7,40.18333333333333333333,2870820453.00000000000000000000,SUCCESSFUL
14,8,40.87000000000000000000,2919833227.33333333333333333333,SUCCESSFUL
14,14,40.25666666666666666666,2876026940.00000000000000000000,SUCCESSFUL
14,28,45.02000000000000000000,3216536171.33333333333333333333,SUCCESSFUL
28,1,388.18666666666666666666,13891242861.33333333333333333333,SUCCESSFUL
28,2,197.14666666666666666666,7056305643.66666666666666666666,SUCCESSFUL
28,4,108.30666666666666666666,3877067661.00000000000000000000,SUCCESSFUL
28,7,93.53333333333333333333,3347334771.33333333333333333333,SUCCESSFUL
28,8,96.11333333333333333333,3438264787.33333333333333333333,SUCCESSFUL
28,14,83.74000000000000000000,2997133231.66666666666666666666,SUCCESSFUL
28,28,99.17000000000000000000,3552301129.66666666666666666666,SUCCESSFUL
