Xstreams,Threads,Time(s),Time(nanos),Status
1,1,12.83666666666666666666,12838710485.33333333333333333333,SUCCESSFUL
1,2,12.96666666666666666666,12965447017.00000000000000000000,SUCCESSFUL
1,3,12.89000000000000000000,12888671366.66666666666666666666,SUCCESSFUL
1,4,13.00666666666666666666,13009368844.33333333333333333333,SUCCESSFUL
1,5,13.14000000000000000000,13141852865.00000000000000000000,SUCCESSFUL
1,6,12.99000000000000000000,12989797274.00000000000000000000,SUCCESSFUL
1,7,12.96000000000000000000,12959214860.66666666666666666666,SUCCESSFUL
1,8,13.08666666666666666666,13088380837.66666666666666666666,SUCCESSFUL
1,16,13.07000000000000000000,13068759755.00000000000000000000,SUCCESSFUL
1,32,13.11000000000000000000,13110623882.66666666666666666666,SUCCESSFUL
1,64,13.19666666666666666666,13195085435.66666666666666666666,SUCCESSFUL
1,128,13.22666666666666666666,13227952956.00000000000000000000,SUCCESSFUL
1,256,13.39666666666666666666,13398833216.66666666666666666666,SUCCESSFUL
2,1,26.56666666666666666666,13284927079.00000000000000000000,SUCCESSFUL
2,2,13.74666666666666666666,6872363070.66666666666666666666,SUCCESSFUL
2,3,17.90000000000000000000,8950372642.33333333333333333333,SUCCESSFUL
2,4,13.64333333333333333333,6822111549.33333333333333333333,SUCCESSFUL
2,5,16.24000000000000000000,8118933682.00000000000000000000,SUCCESSFUL
2,6,13.73666666666666666666,6870004715.33333333333333333333,SUCCESSFUL
2,7,15.63666666666666666666,7818031973.00000000000000000000,SUCCESSFUL
2,8,13.81666666666666666666,6908080895.00000000000000000000,SUCCESSFUL
2,16,14.21333333333333333333,7105348014.66666666666666666666,SUCCESSFUL
2,32,14.75000000000000000000,7376104500.33333333333333333333,SUCCESSFUL
2,64,16.03333333333333333333,8017576274.33333333333333333333,SUCCESSFUL
2,128,18.25333333333333333333,9127685425.00000000000000000000,SUCCESSFUL
2,256,18.14000000000000000000,9069781750.33333333333333333333,SUCCESSFUL
3,1,40.17666666666666666666,13392541435.66666666666666666666,SUCCESSFUL
3,2,20.64333333333333333333,6881930010.00000000000000000000,SUCCESSFUL
3,3,14.17333333333333333333,4726342113.00000000000000000000,SUCCESSFUL
3,4,20.75000000000000000000,6917079568.66666666666666666666,SUCCESSFUL
3,5,16.90000000000000000000,5632967495.00000000000000000000,SUCCESSFUL
3,6,14.47000000000000000000,4823320127.66666666666666666666,SUCCESSFUL
3,7,18.38000000000000000000,6126700671.66666666666666666666,SUCCESSFUL
3,8,16.45333333333333333333,5484923037.00000000000000000000,SUCCESSFUL
3,16,16.79333333333333333333,5598850588.66666666666666666666,SUCCESSFUL
3,32,16.76000000000000000000,5586650508.00000000000000000000,SUCCESSFUL
3,64,18.94000000000000000000,6313971055.00000000000000000000,SUCCESSFUL
3,128,23.17333333333333333333,7724119603.33333333333333333333,SUCCESSFUL
3,256,23.83666666666666666666,7946639121.33333333333333333333,SUCCESSFUL
4,1,58.25666666666666666666,14564790649.66666666666666666666,SUCCESSFUL
4,2,28.28666666666666666666,7071948218.33333333333333333333,SUCCESSFUL
4,3,24.95333333333333333333,6243436213.33333333333333333333,SUCCESSFUL
4,4,19.83333333333333333333,4961402710.00000000000000000000,SUCCESSFUL
4,5,26.07000000000000000000,6518740313.66666666666666666666,SUCCESSFUL
4,6,20.81000000000000000000,5204469381.00000000000000000000,SUCCESSFUL
4,7,22.28333333333333333333,5572842107.00000000000000000000,SUCCESSFUL
4,8,20.02000000000000000000,5005424438.00000000000000000000,SUCCESSFUL
4,16,20.32333333333333333333,5082817201.66666666666666666666,SUCCESSFUL
4,32,21.37666666666666666666,5344557588.33333333333333333333,SUCCESSFUL
4,64,21.67333333333333333333,5419447719.66666666666666666666,SUCCESSFUL
4,128,28.79666666666666666666,7212766319.66666666666666666666,SUCCESSFUL
4,256,32.62333333333333333333,8172740418.33333333333333333333,SUCCESSFUL
5,1,75.69666666666666666666,15166767682.00000000000000000000,SUCCESSFUL
5,2,43.69666666666666666666,8741502472.00000000000000000000,SUCCESSFUL
5,3,33.28333333333333333333,6666255536.00000000000000000000,SUCCESSFUL
5,4,25.41666666666666666666,5109954516.66666666666666666666,SUCCESSFUL
5,5,22.39666666666666666666,4482539914.66666666666666666666,SUCCESSFUL
5,6,33.66333333333333333333,6746470413.66666666666666666666,SUCCESSFUL
5,7,27.87333333333333333333,5575993624.66666666666666666666,SUCCESSFUL
5,8,26.15000000000000000000,5241093898.33333333333333333333,SUCCESSFUL
5,16,28.96666666666666666666,5804769559.66666666666666666666,SUCCESSFUL
5,32,26.29666666666666666666,5260508352.33333333333333333333,SUCCESSFUL
