Class,Xstreams,Threads,Time(s),Time(nanos),Status
S,1,1,1.30333333333333333333,46816666.92333333333333333333,SUCCESSFUL
S,2,1,1.09000000000000000000,1745341126615769429.33333333333333333333,SUCCESSFUL
S,3,1,.82000000000000000000,1745341126853033216.00000000000000000000,SUCCESSFUL
S,4,1,1.09000000000000000000,1745341127098362965.33333333333333333333,SUCCESSFUL
S,7,1,1.18333333333333333333,1745341127341697706.66666666666666666666,SUCCESSFUL
S,8,1,1.35333333333333333333,1745341127606387456.00000000000000000000,SUCCESSFUL
S,14,1,1.53666666666666666666,1745341127911198720.00000000000000000000,SUCCESSFUL
S,28,1,2.96000000000000000000,1745341128325971626.66666666666666666666,SUCCESSFUL
W,1,1,8.03000000000000000000,287520329.16000000000000000000,SUCCESSFUL
W,2,1,4.33333333333333333333,1745341130294132565.33333333333333333333,SUCCESSFUL
W,3,1,3.05666666666666666666,1745341131035630250.66666666666666666666,SUCCESSFUL
W,4,1,2.39666666666666666666,1745341131666331221.33333333333333333333,SUCCESSFUL
W,7,1,1.57000000000000000000,1745341132207671040.00000000000000000000,SUCCESSFUL
W,8,1,1.37000000000000000000,1745341132715438677.33333333333333333333,SUCCESSFUL
W,14,1,1.93666666666666666666,1745341133254507434.66666666666666666666,SUCCESSFUL
W,28,1,2.32000000000000000000,1745341133883268352.00000000000000000000,SUCCESSFUL
A,1,1,29.52000000000000000000,1058103720.34666666666666666666,SUCCESSFUL
A,2,1,16.44333333333333333333,1745341141354873002.66666666666666666666,SUCCESSFUL
A,3,1,11.68666666666666666666,1745341144448937301.33333333333333333333,SUCCESSFUL
A,4,1,9.42333333333333333333,1745341147176996096.00000000000000000000,SUCCESSFUL
A,7,1,6.34333333333333333333,1745341149543159637.33333333333333333333,SUCCESSFUL
A,8,1,5.32333333333333333333,1745341151739633408.00000000000000000000,SUCCESSFUL
A,14,1,3.85666666666666666666,1745341153839872853.33333333333333333333,SUCCESSFUL
A,28,1,3.90000000000000000000,1745341155830272341.33333333333333333333,SUCCESSFUL
B,1,1,1946.89666666666666666666,69781406402.58666666666666666666,SUCCESSFUL
B,2,1,883.42333333333333333333,1745341458884287573.33333333333333333333,SUCCESSFUL
B,3,1,586.41333333333333333333,1745341547737465344.00000000000000000000,SUCCESSFUL
B,4,1,515.03666666666666666666,1745341622231703040.00000000000000000000,SUCCESSFUL
B,7,1,322.41333333333333333333,1745341679508153002.66666666666666666666,SUCCESSFUL
B,8,1,296.63666666666666666666,1745341727990370048.00000000000000000000,SUCCESSFUL
B,14,1,205.30000000000000000000,1745341768624894976.00000000000000000000,SUCCESSFUL
B,28,1,176.55000000000000000000,1745341804230974208.00000000000000000000,SUCCESSFUL
C,1,1,7896.11666666666666666666,283078812360.76333333333333333333,SUCCESSFUL
C,2,1,4088.56666666666666666666,1745343073728021674.66666666666666666666,SUCCESSFUL
C,3,1,2855.10333333333333333333,1163562320423708374.92000000000000000000,SUCCESSFUL
C,4,1,2258.27333333333333333333,1745343818905482325.33333333333333333333,SUCCESSFUL
C,7,1,1516.81666666666666666666,1163562758560615930.23666666666666666666,SUCCESSFUL
C,8,1,1374.01666666666666666666,1745344288425163690.66666666666666666666,SUCCESSFUL
C,14,1,899.41666666666666666666,1745344464113198336.00000000000000000000,SUCCESSFUL
C,28,1,552.95666666666666666666,1163563084793284929.07000000000000000000,SUCCESSFUL
