Class,Xstreams,Threads,Time(s),Time(nanos),Status
S,1,1,.55333333333333333333,78491687.77333333333333333333,SUCCESSFUL
S,2,1,.32666666666666666666,1745341410131886933.33333333333333333333,SUCCESSFUL
S,3,1,.24000000000000000000,1163560940317511946.48000000000000000000,SUCCESSFUL
S,4,1,.25333333333333333333,1163560940438787918.10000000000000000000,SUCCESSFUL
S,5,1,.20000000000000000000,1163560940649172017.54333333333333333333,SUCCESSFUL
S,6,1,.29666666666666666666,1745341411201177941.33333333333333333333,SUCCESSFUL
S,7,1,.24333333333333333333,1745341411475671466.66666666666666666666,SUCCESSFUL
S,8,1,.31000000000000000000,47598282.49666666666666666666,SUCCESSFUL
S,16,1,.36000000000000000000,1745341412150828714.66666666666666666666,SUCCESSFUL
W,1,1,2.26666666666666666666,316495100.65666666666666666666,SUCCESSFUL
W,2,1,1.57333333333333333333,1745341414535447381.33333333333333333333,SUCCESSFUL
W,3,1,1.29333333333333333333,1745341415604953344.00000000000000000000,SUCCESSFUL
W,4,1,.95666666666666666666,1745341416618403328.00000000000000000000,SUCCESSFUL
W,5,1,.94333333333333333333,1745341417574487040.00000000000000000000,SUCCESSFUL
W,6,1,.73666666666666666666,1163560945550356359.88000000000000000000,SUCCESSFUL
W,7,1,.89666666666666666666,581780473187630022.39000000000000000000,SUCCESSFUL
W,8,1,.69666666666666666666,1163560946914685635.99333333333333333333,SUCCESSFUL
W,16,1,.86000000000000000000,1745341421122171562.66666666666666666666,SUCCESSFUL
A,1,1,9.22666666666666666666,1162390391.03000000000000000000,SUCCESSFUL
A,2,1,4.67000000000000000000,1163560953322770420.72000000000000000000,SUCCESSFUL
A,3,1,3.33333333333333333333,1745341433076287658.66666666666666666666,SUCCESSFUL
A,4,1,2.58000000000000000000,1745341436225644288.00000000000000000000,SUCCESSFUL
A,5,1,2.26000000000000000000,1745341439240743253.33333333333333333333,SUCCESSFUL
A,6,1,1.83000000000000000000,1745341441990722048.00000000000000000000,SUCCESSFUL
A,7,1,1.64666666666666666666,1745341444587545344.00000000000000000000,SUCCESSFUL
A,8,1,1.49333333333333333333,1745341447071340629.33333333333333333333,SUCCESSFUL
A,16,1,1.54000000000000000000,1745341449602895445.33333333333333333333,SUCCESSFUL
B,1,1,405.19333333333333333333,51156661113.10333333333333333333,SUCCESSFUL
B,2,1,217.09000000000000000000,1163561147145994335.23333333333333333333,SUCCESSFUL
B,3,1,151.29000000000000000000,1745341774709166250.66666666666666666666,SUCCESSFUL
B,4,1,122.24000000000000000000,1745341843205853781.33333333333333333333,SUCCESSFUL
B,5,1,104.18000000000000000000,1745341903504049408.00000000000000000000,SUCCESSFUL
B,6,1,86.78000000000000000000,1163561314106737982.81000000000000000000,SUCCESSFUL
B,7,1,74.46333333333333333333,1745342004934034688.00000000000000000000,SUCCESSFUL
B,8,1,66.61000000000000000000,1163561369127807258.76666666666666666666,SUCCESSFUL
B,16,1,67.15333333333333333333,1745342093177552554.66666666666666666666,SUCCESSFUL
C,1,1,1454.03000000000000000000,183036991914.11000000000000000000,SUCCESSFUL
C,2,1,756.91000000000000000000,1745342961891624277.33333333333333333333,SUCCESSFUL
C,3,1,538.02666666666666666666,1745343259254398976.00000000000000000000,SUCCESSFUL
C,4,1,424.80666666666666666666,1745343499340610645.33333333333333333333,SUCCESSFUL
C,5,1,353.23333333333333333333,1163562507439142680.21000000000000000000,SUCCESSFUL
C,6,1,297.48000000000000000000,1745343888522632277.33333333333333333333,SUCCESSFUL
C,7,1,261.28666666666666666666,1745344054805055744.00000000000000000000,SUCCESSFUL
C,8,1,231.63666666666666666666,1745344209155980032.00000000000000000000,SUCCESSFUL
C,16,1,235.03000000000000000000,1163562917902662660.61666666666666666666,SUCCESSFUL
