Class,Xstreams,Threads,Time(s),Time(nanos),Status
S,1,1,.08333333333333333333,84642642.66333333333333333333,SUCCESSFUL
S,1,2,.09000000000000000000,61584720.34666666666666666666,SUCCESSFUL
S,1,4,.08333333333333333333,49367256.32666666666666666666,SUCCESSFUL
S,1,7,.36000000000000000000,92453715.68000000000000000000,SUCCESSFUL
S,1,8,.43666666666666666666,100355750.66666666666666666666,SUCCESSFUL
S,1,14,1.36000000000000000000,200449983.33666666666666666666,SUCCESSFUL
S,1,28,6.63000000000000000000,513578448.32666666666666666666,SUCCESSFUL
S,2,1,.13333333333333333333,66798332.32000000000000000000,SUCCESSFUL
S,2,2,.11666666666666666666,47134696.66333333333333333333,SUCCESSFUL
S,2,4,.21666666666666666666,66633914.01333333333333333333,SUCCESSFUL
S,2,7,.77000000000000000000,127443575.68666666666666666666,SUCCESSFUL
S,2,8,1.10333333333333333333,155961060.33000000000000000000,SUCCESSFUL
S,2,14,3.90666666666666666666,334901647.33333333333333333333,SUCCESSFUL
S,2,28,6.92333333333333333333,846414597.33666666666666666666,SUCCESSFUL
S,4,1,.22000000000000000000,54455855.33666666666666666666,SUCCESSFUL
S,4,2,.20666666666666666666,44485712.36666666666666666666,SUCCESSFUL
S,4,4,.96333333333333333333,136390872.34000000000000000000,SUCCESSFUL
S,4,7,2.68000000000000000000,293731013.00000000000000000000,SUCCESSFUL
S,4,8,2.36666666666666666666,336395678.98333333333333333333,SUCCESSFUL
S,4,14,1.87333333333333333333,636482925.66000000000000000000,SUCCESSFUL
S,4,28,4.09666666666666666666,1431480625.64333333333333333333,SUCCESSFUL
S,7,1,,,SUCCESSFUL
S,7,2,,,SUCCESSFUL
S,7,4,,,SUCCESSFUL
S,7,7,,,SUCCESSFUL
S,7,8,,,SUCCESSFUL
S,7,14,,,SUCCESSFUL
S,7,28,,,SUCCESSFUL
S,8,1,,,SUCCESSFUL
S,8,2,,,SUCCESSFUL
S,8,4,,,SUCCESSFUL
S,8,7,,,SUCCESSFUL
S,8,8,,,SUCCESSFUL
S,8,14,,,SUCCESSFUL
S,8,28,,,SUCCESSFUL
S,14,1,,,SUCCESSFUL
S,14,2,,,SUCCESSFUL
S,14,4,,,SUCCESSFUL
S,14,7,,,SUCCESSFUL
S,14,8,,,SUCCESSFUL
S,14,14,,,SUCCESSFUL
S,14,28,,,SUCCESSFUL
S,28,1,,,SUCCESSFUL
S,28,2,,,SUCCESSFUL
S,28,4,,,SUCCESSFUL
S,28,7,,,SUCCESSFUL
S,28,8,,,SUCCESSFUL
S,28,14,,,SUCCESSFUL
S,28,28,,,SUCCESSFUL
W,1,1,3.10000000000000000000,3099073034.65333333333333333333,SUCCESSFUL
W,1,2,3.38333333333333333333,1770764722.66333333333333333333,SUCCESSFUL
W,1,4,5.32000000000000000000,1449477964.33333333333333333333,SUCCESSFUL
W,1,7,7.06666666666666666666,1165829053.67333333333333333333,SUCCESSFUL
W,1,8,8.10333333333333333333,1188884914.67666666666666666666,SUCCESSFUL
W,1,14,16.83333333333333333333,1570573910.00666666666666666666,SUCCESSFUL
W,1,28,50.53333333333333333333,2810832061.67000000000000000000,SUCCESSFUL
W,2,1,3.23333333333333333333,1618199088.99666666666666666666,SUCCESSFUL
W,2,2,4.13000000000000000000,1141154900.98666666666666666666,SUCCESSFUL
W,2,4,6.50666666666666666666,1018002255.66333333333333333333,SUCCESSFUL
W,2,7,10.38666666666666666666,1039843300.33666666666666666666,SUCCESSFUL
W,2,8,12.38000000000000000000,1116677397.99666666666666666666,SUCCESSFUL
W,2,14,40.31000000000000000000,2399469191.01333333333333333333,SUCCESSFUL
W,2,28,22.78333333333333333333,4370847494.98333333333333333333,SUCCESSFUL
W,4,1,3.42666666666666666666,857100174.31333333333333333333,SUCCESSFUL
W,4,2,5.14000000000000000000,788262680.33000000000000000000,SUCCESSFUL
W,4,4,9.84000000000000000000,927445606.35000000000000000000,SUCCESSFUL
W,4,7,18.71333333333333333333,1293660050.01000000000000000000,SUCCESSFUL
W,4,8,15.99000000000000000000,1531800703.65000000000000000000,SUCCESSFUL
W,4,14,19.40000000000000000000,2663917300.66000000000000000000,SUCCESSFUL
W,4,28,31.35666666666666666666,5625043433.68333333333333333333,SUCCESSFUL
W,7,1,4.96333333333333333333,788425812.03333333333333333333,SUCCESSFUL
W,7,2,7.57666666666666666666,775457280.34333333333333333333,SUCCESSFUL
W,7,4,15.59000000000000000000,1077414079.33666666666666666666,SUCCESSFUL
W,7,7,16.47333333333333333333,1705741241.01000000000000000000,SUCCESSFUL
W,7,8,17.08000000000000000000,1946510746.66666666666666666666,SUCCESSFUL
W,7,14,25.59333333333333333333,3792547383.32666666666666666666,SUCCESSFUL
W,7,28,39.57333333333333333333,8228306919.31666666666666666666,SUCCESSFUL
W,8,1,5.66000000000000000000,847384499.30666666666666666666,SUCCESSFUL
W,8,2,8.28333333333333333333,747873060.30666666666666666666,SUCCESSFUL
W,8,4,12.69000000000000000000,1005184967.65333333333333333333,SUCCESSFUL
W,8,7,16.56666666666666666666,1870768414.30666666666666666666,SUCCESSFUL
W,8,8,18.48666666666666666666,2201993034.64666666666666666666,SUCCESSFUL
W,8,14,23.87333333333333333333,4213801637.02000000000000000000,SUCCESSFUL
W,8,28,41.66666666666666666666,9293977129.65666666666666666666,SUCCESSFUL
W,14,1,8.41666666666666666666,862350242.68000000000000000000,SUCCESSFUL
W,14,2,14.79333333333333333333,890728138.33000000000000000000,SUCCESSFUL
W,14,4,12.94666666666666666666,1496692263.66000000000000000000,SUCCESSFUL
W,14,7,17.41000000000000000000,2951918953.66000000000000000000,SUCCESSFUL
W,14,8,19.38333333333333333333,3392663316.66666666666666666666,SUCCESSFUL
W,14,14,31.29000000000000000000,6650471853.34333333333333333333,SUCCESSFUL
W,14,28,58.72666666666666666666,14701520243.99000000000000000000,SUCCESSFUL
W,28,1,,,SUCCESSFUL
W,28,2,,,SUCCESSFUL
W,28,4,,,SUCCESSFUL
W,28,7,,,SUCCESSFUL
W,28,8,,,SUCCESSFUL
W,28,14,,,SUCCESSFUL
W,28,28,,,SUCCESSFUL
A,1,1,31.53666666666666666666,31540551149.32666666666666666666,SUCCESSFUL
A,1,2,33.26333333333333333333,16740987348.66000000000000000000,SUCCESSFUL
