Class,Xstreams,Threads,Time(s),Time(nanos),Status
S,1,1,4.42000000000000000000,331161657.96666666666666666666,SUCCESSFUL
S,2,2,2.80666666666666666666,1746094812098376789.33333333333333333333,SUCCESSFUL
S,4,4,,,SUCCESSFUL
S,8,8,,,SUCCESSFUL
S,14,14,,,SUCCESSFUL
S,28,28,,,SUCCESSFUL
W,1,1,145.65000000000000000000,5214723666.51000000000000000000,SUCCESSFUL
W,2,2,45.91000000000000000000,1746096632354409984.00000000000000000000,SUCCESSFUL
W,4,4,17.26333333333333333333,1746096635378655744.00000000000000000000,SUCCESSFUL
W,8,8,,,SUCCESSFUL
W,14,14,,,SUCCESSFUL
W,28,28,,,SUCCESSFUL
A,1,1,1516.43000000000000000000,54266032775.24333333333333333333,SUCCESSFUL
A,2,2,446.06333333333333333333,1746100432810180352.00000000000000000000,SUCCESSFUL
A,4,4,145.67333333333333333333,1746100459477064362.66666666666666666666,SUCCESSFUL
A,8,8,,,SUCCESSFUL
A,14,14,,,SUCCESSFUL
A,28,28,,,SUCCESSFUL
