Class,Xstreams,Threads,Time(s),Time(nanos),Status
C,1,1,25055.98333333333333333333,897341319640.48000000000000000000,SUCCESSFUL
C,1,2,13559.65333333333333333333,1746049347662469034.66666666666666666666,SUCCESSFUL
C,1,4,7913.50000000000000000000,1746050410296392960.00000000000000000000,SUCCESSFUL
C,1,7,5341.61666666666666666666,1746051082487411626.66666666666666666666,SUCCESSFUL
C,1,8,4920.67333333333333333333,1746051631301984341.33333333333333333333,SUCCESSFUL
C,1,14,3502.98666666666666666666,1746052062414262442.66666666666666666666,SUCCESSFUL
C,1,28,2467.85333333333333333333,1164034943927168729.02333333333333333333,SUCCESSFUL
C,2,1,12944.91333333333333333333,1746053406151434666.66666666666666666666,SUCCESSFUL
C,2,2,7253.24333333333333333333,1746054398295386624.00000000000000000000,SUCCESSFUL
C,2,4,4261.59333333333333333333,1746054968747021312.00000000000000000000,SUCCESSFUL
C,2,7,2993.79000000000000000000,1746055340027614634.66666666666666666666,SUCCESSFUL
C,2,8,2627.34666666666666666666,582018609764914629.31000000000000000000,SUCCESSFUL
C,2,14,1760.58333333333333333333,1746055867525644629.33333333333333333333,SUCCESSFUL
C,2,28,1684.91000000000000000000,1746056050392563029.33333333333333333333,SUCCESSFUL
C,4,1,7123.77333333333333333333,1164037838648081656.88333333333333333333,SUCCESSFUL
C,4,2,3974.10333333333333333333,1746057175294430976.00000000000000000000,SUCCESSFUL
C,4,4,2289.45666666666666666666,1164038325152516225.70000000000000000000,SUCCESSFUL
C,4,7,1733.62666666666666666666,1746057698179813717.33333333333333333333,SUCCESSFUL
C,4,8,1495.12000000000000000000,1746057875955800917.33333333333333333333,SUCCESSFUL
C,4,14,1359.63666666666666666666,1164038720317421346.38666666666666666666,SUCCESSFUL
C,4,28,1405.41333333333333333333,1164038788685675660.31666666666666666666,SUCCESSFUL
C,7,1,4625.11000000000000000000,1164039102097107432.01000000000000000000,SUCCESSFUL
C,7,2,2451.38000000000000000000,1164039307616578969.72000000000000000000,SUCCESSFUL
C,7,4,1659.61666666666666666666,582019752113482554.30333333333333333333,SUCCESSFUL
C,7,7,1435.58666666666666666666,1746059312582977621.33333333333333333333,SUCCESSFUL
C,7,8,1265.87666666666666666666,1746059456901610410.66666666666666666666,SUCCESSFUL
C,7,14,1257.77666666666666666666,1746059593674583978.66666666666666666666,SUCCESSFUL
C,7,28,1285.49333333333333333333,1164039852455082341.02666666666666666666,SUCCESSFUL
C,8,1,4171.33000000000000000000,582020130625971632.07666666666666666666,SUCCESSFUL
C,8,2,2402.17666666666666666666,1164040288283416934.69666666666666666666,SUCCESSFUL
C,8,4,1508.81666666666666666666,1746060647739522986.66666666666666666666,SUCCESSFUL
C,8,7,1348.88333333333333333333,1164040564492201312.25000000000000000000,SUCCESSFUL
C,8,8,1318.56333333333333333333,1164040636182909319.55666666666666666666,SUCCESSFUL
C,8,14,1347.05333333333333333333,1164040756888242949.56666666666666666666,SUCCESSFUL
C,8,28,1346.37000000000000000000,582020439348635952.01666666666666666666,SUCCESSFUL
C,14,1,2573.96333333333333333333,1164041054654411698.80333333333333333333,SUCCESSFUL
C,14,2,1373.87000000000000000000,1164041176668390020.56000000000000000000,SUCCESSFUL
C,14,4,1301.68000000000000000000,1746061887703087616.00000000000000000000,SUCCESSFUL
C,14,7,1321.49666666666666666666,582020716728548784.22333333333333333333,SUCCESSFUL
C,14,8,1311.47000000000000000000,1746062205356595968.00000000000000000000,SUCCESSFUL
C,14,14,1317.25666666666666666666,1164041577333558701.64000000000000000000,SUCCESSFUL
C,14,28,1328.44666666666666666666,1164041681381574604.50333333333333333333,SUCCESSFUL
C,28,1,1590.42333333333333333333,582021027546581533.34000000000000000000,SUCCESSFUL
C,28,2,1339.53333333333333333333,53683856089.91000000000000000000,SUCCESSFUL
C,28,4,1305.76000000000000000000,48759795665.74000000000000000000,SUCCESSFUL
C,28,7,1273.16000000000000000000,45593040704.72666666666666666666,SUCCESSFUL
C,28,8,1273.71333333333333333333,45657183965.04666666666666666666,SUCCESSFUL
C,28,14,1269.64000000000000000000,45751863956.45333333333333333333,SUCCESSFUL
C,28,28,1368.00666666666666666666,54860076427.46000000000000000000,SUCCESSFUL
