Class,Xstreams,Threads,Time(s),Time(nanos),Status
S,1,1,4.42000000000000000000,331161657.96666666666666666666,SUCCESSFUL
S,2,2,2.80666666666666666666,1746094812098376789.33333333333333333333,SUCCESSFUL
S,4,4,,,SUCCESSFUL
S,8,8,,,SUCCESSFUL
S,14,14,,,SUCCESSFUL
S,28,28,,,SUCCESSFUL
W,1,1,145.65000000000000000000,5214723666.51000000000000000000,SUCCESSFUL
W,2,2,45.91000000000000000000,1746096632354409984.00000000000000000000,SUCCESSFUL
W,4,4,17.26333333333333333333,1746096635378655744.00000000000000000000,SUCCESSFUL
W,8,8,,,SUCCESSFUL
W,14,14,,,SUCCESSFUL
W,28,28,,,SUCCESSFUL
A,1,1,1516.43000000000000000000,54266032775.24333333333333333333,SUCCESSFUL
A,2,2,446.06333333333333333333,1746100432810180352.00000000000000000000,SUCCESSFUL
A,4,4,145.67333333333333333333,1746100459477064362.66666666666666666666,SUCCESSFUL
A,8,8,,,SUCCESSFUL
A,14,14,,,SUCCESSFUL
A,28,28,,,SUCCESSFUL
B,1,1,6192.05666666666666666666,221541141668.95333333333333333333,SUCCESSFUL
B,2,2,1846.14000000000000000000,1746086346752047957.33333333333333333333,SUCCESSFUL
B,4,4,580.31000000000000000000,1746086455215657642.66666666666666666666,SUCCESSFUL
B,7,7,329.53000000000000000000,1746086500041384960.00000000000000000000,SUCCESSFUL
B,8,8,319.09666666666666666666,1164057693949495399.34666666666666666666,SUCCESSFUL
B,14,14,318.41333333333333333333,11403311729.43000000000000000000,SUCCESSFUL
B,28,28,,,SUCCESSFUL
C,1,1,25055.98333333333333333333,897341319640.48000000000000000000,SUCCESSFUL
C,2,2,7253.24333333333333333333,1746054398295386624.00000000000000000000,SUCCESSFUL
C,4,4,2289.45666666666666666666,1164038325152516225.70000000000000000000,SUCCESSFUL
C,7,7,1435.58666666666666666666,1746059312582977621.33333333333333333333,SUCCESSFUL
C,8,8,1318.56333333333333333333,1164040636182909319.55666666666666666666,SUCCESSFUL
C,14,14,1317.25666666666666666666,1164041577333558701.64000000000000000000,SUCCESSFUL
C,28,28,1368.00666666666666666666,54860076427.46000000000000000000,SUCCESSFUL
