Class,Xstreams,Threads,Time(s),Time(nanos),Status
S,1,1,.09000000000000000000,86974706.66000000000000000000,SUCCESSFUL
S,2,2,.10666666666666666666,45019823.36000000000000000000,SUCCESSFUL
S,4,4,.94666666666666666666,134651299.99333333333333333333,SUCCESSFUL
S,7,7,,,SUCCESSFUL
S,8,8,,,SUCCESSFUL
S,14,14,,,SUCCESSFUL
S,28,28,,,SUCCESSFUL
W,1,1,3.08333333333333333333,3084558044.67666666666666666666,SUCCESSFUL
W,2,2,4.06000000000000000000,1112819953.33666666666666666666,SUCCESSFUL
W,4,4,9.78000000000000000000,919690125.02000000000000000000,SUCCESSFUL
W,7,7,16.04000000000000000000,1662512421.01000000000000000000,SUCCESSFUL
W,8,8,18.60000000000000000000,2204215742.68666666666666666666,SUCCESSFUL
W,14,14,31.36333333333333333333,6631433233.67666666666666666666,SUCCESSFUL
W,28,28,,,SUCCESSFUL
A,1,1,31.51666666666666666666,31516750575.99333333333333333333,SUCCESSFUL
A,2,2,36.19666666666666666666,9390094556.32333333333333333333,SUCCESSFUL
A,4,4,70.51333333333333333333,5259767413.33333333333333333333,SUCCESSFUL
A,7,7,80.50000000000000000000,4624906954.64333333333333333333,SUCCESSFUL
A,8,8,83.31333333333333333333,5315616440.66666666666666666666,SUCCESSFUL
A,14,14,97.83000000000000000000,10399301189.01666666666666666666,SUCCESSFUL
A,28,28,,,SUCCESSFUL
B,1,1,129.19000000000000000000,129195149581.66666666666666666666,SUCCESSFUL
B,2,2,146.99000000000000000000,37422916655.68333333333333333333,SUCCESSFUL
B,4,4,274.94666666666666666666,19375445839.00000000000000000000,SUCCESSFUL
B,7,7,303.91333333333333333333,14499667518.01666666666666666666,SUCCESSFUL
B,8,8,306.58333333333333333333,15212529593.65000000000000000000,SUCCESSFUL
B,14,14,339.14333333333333333333,22162829995.32666666666666666666,SUCCESSFUL
B,28,28,440.71666666666666666666,57035726899.01000000000000000000,SUCCESSFUL
C,1,1,523.50333333333333333333,523564377322.67666666666666666666,SUCCESSFUL
C,2,2,566.77333333333333333333,142747678445.98000000000000000000,SUCCESSFUL
C,4,4,1051.16333333333333333333,74863554495.66000000000000000000,SUCCESSFUL
C,7,7,1188.00333333333333333333,52711331975.99666666666666666666,SUCCESSFUL
C,8,8,1202.75000000000000000000,52751935745.65000000000000000000,SUCCESSFUL
C,14,14,1274.95666666666666666666,60152679176.98000000000000000000,SUCCESSFUL
C,28,28,1862.64000000000000000000,125550474469.33666666666666666666,SUCCESSFUL
