Class,Xstreams,Threads,Time(s),Time(nanos),Status
S,1,1,.08666666666666666666,87271822.67333333333333333333,SUCCESSFUL
S,1,2,.08666666666666666666,61229776.67000000000000000000,SUCCESSFUL
S,1,4,.08333333333333333333,52985521.36333333333333333333,SUCCESSFUL
S,1,7,.35666666666666666666,91908436.32666666666666666666,SUCCESSFUL
S,1,8,.46333333333333333333,104243091.34666666666666666666,SUCCESSFUL
S,1,14,1.38666666666666666666,202620799.01333333333333333333,SUCCESSFUL
S,1,28,6.81000000000000000000,520536078.31333333333333333333,SUCCESSFUL
S,28,1,,,SUCCESSFUL
S,28,2,,,SUCCESSFUL
S,28,4,,,SUCCESSFUL
S,28,7,,,SUCCESSFUL
S,28,8,,,SUCCESSFUL
S,28,14,,,SUCCESSFUL
S,28,28,,,SUCCESSFUL
W,28,1,,,SUCCESSFUL
W,28,2,,,SUCCESSFUL
W,28,4,,,SUCCESSFUL
W,28,7,,,SUCCESSFUL
W,28,8,,,SUCCESSFUL
W,28,14,,,SUCCESSFUL
W,28,28,,,SUCCESSFUL
A,28,1,,,SUCCESSFUL
A,28,2,,,SUCCESSFUL
A,28,4,,,SUCCESSFUL
A,28,7,,,SUCCESSFUL
A,28,8,,,SUCCESSFUL
A,28,14,,,SUCCESSFUL
A,28,28,,,SUCCESSFUL
B,28,1,312.41333333333333333333,14961131130.69333333333333333333,SUCCESSFUL
B,28,2,301.43000000000000000000,13032103935.31333333333333333333,SUCCESSFUL
B,28,4,314.21333333333333333333,14462390200.66000000000000000000,SUCCESSFUL
B,28,7,330.78000000000000000000,18365628188.01000000000000000000,SUCCESSFUL
B,28,8,337.24000000000000000000,19745991829.33666666666666666666,SUCCESSFUL
B,28,14,367.79000000000000000000,29928907049.99666666666666666666,SUCCESSFUL
B,28,28,441.17333333333333333333,57157187678.34666666666666666666,SUCCESSFUL
C,28,1,1238.78000000000000000000,46423544282.65666666666666666666,SUCCESSFUL
C,28,2,1212.76000000000000000000,47545520525.33000000000000000000,SUCCESSFUL
C,28,4,1237.02333333333333333333,48903109376.66666666666666666666,SUCCESSFUL
C,28,7,1266.97333333333333333333,52284971412.67666666666666666666,SUCCESSFUL
C,28,8,1275.00000000000000000000,53788847178.66666666666666666666,SUCCESSFUL
C,28,14,1339.37000000000000000000,64876201237.64666666666666666666,SUCCESSFUL
C,28,28,1476.72000000000000000000,94538171723.32666666666666666666,SUCCESSFUL
