Class,Xstreams,Threads,Time(s),Time(nanos),Status
S,1,1,1.20333333333333333333,153737666.66666666666666666666,SUCCESSFUL
S,2,2,.47000000000000000000,59624666.66666666666666666666,SUCCESSFUL
S,3,3,,,SUCCESSFUL
S,4,4,,,SUCCESSFUL
S,5,5,,,SUCCESSFUL
S,6,6,,,SUCCESSFUL
S,7,7,,,SUCCESSFUL
S,8,8,,,SUCCESSFUL
S,16,16,,,SUCCESSFUL
W,1,1,44.75666666666666666666,5646753000.00000000000000000000,SUCCESSFUL
W,2,2,14.99333333333333333333,2509987666.66666666666666666666,SUCCESSFUL
W,3,3,8.97333333333333333333,3417470000.00000000000000000000,SUCCESSFUL
W,4,4,8.35000000000000000000,2104149000.00000000000000000000,SUCCESSFUL
W,5,5,8.26333333333333333333,1385473000.00000000000000000000,SUCCESSFUL
W,6,6,,,SUCCESSFUL
W,7,7,,,SUCCESSFUL
W,8,8,,,SUCCESSFUL
W,16,16,,,SUCCESSFUL
A,1,1,459.45000000000000000000,57791101333.33333333333333333333,SUCCESSFUL
A,2,2,145.05333333333333333333,24329259333.33333333333333333333,SUCCESSFUL
A,3,3,83.44000000000000000000,31557760666.66666666666666666666,SUCCESSFUL
A,4,4,79.42000000000000000000,19978101666.66666666666666666666,SUCCESSFUL
A,5,5,78.18333333333333333333,22975018000.00000000000000000000,SUCCESSFUL
A,6,6,,,SUCCESSFUL
A,7,7,,,SUCCESSFUL
A,8,8,,,SUCCESSFUL
A,16,16,,,SUCCESSFUL
B,1,1,1884.84000000000000000000,237335136000.00000000000000000000,SUCCESSFUL
B,2,2,599.96333333333333333333,151167699666.66666666666666666666,SUCCESSFUL
B,3,3,338.08666666666666666666,85331557666.66666666666666666666,SUCCESSFUL
B,4,4,315.35000000000000000000,105879433333.33333333333333333333,SUCCESSFUL
B,5,5,312.44000000000000000000,78693703000.00000000000000000000,SUCCESSFUL
B,6,6,310.80333333333333333333,130926572000.00000000000000000000,SUCCESSFUL
B,7,7,311.62333333333333333333,39260027000.00000000000000000000,SUCCESSFUL
B,8,8,309.28666666666666666666,77949436666.66666666666666666666,SUCCESSFUL
B,16,16,312.47000000000000000000,78723338666.66666666666666666666,SUCCESSFUL
C,1,1,7573.45666666666666666666,952889498333.33333333333333333333,SUCCESSFUL
C,2,2,2401.57333333333333333333,504108959666.66666666666666666666,SUCCESSFUL
C,3,3,1336.52000000000000000000,168291985666.66666666666666666666,SUCCESSFUL
C,4,4,1255.47000000000000000000,421714931333.33333333333333333333,SUCCESSFUL
C,5,5,1247.45000000000000000000,262208397000.00000000000000000000,SUCCESSFUL
C,6,6,1251.22000000000000000000,578353714666.66666666666666666666,SUCCESSFUL
C,7,7,1248.18000000000000000000,575595195333.33333333333333333333,SUCCESSFUL
C,8,8,1241.59333333333333333333,625509115333.33333333333333333333,SUCCESSFUL
C,16,16,1255.12000000000000000000,1319009878333.33333333333333333333,SUCCESSFUL
