Class,Xstreams,Threads,Time(s),Time(nanos),Status
S,1,1,.15333333333333333333,.16333333333333333333,SUCCESSFUL
S,2,2,.06000000000000000000,.06000000000000000000,SUCCESSFUL
S,3,3,,,SUCCESSFUL
S,4,4,,,SUCCESSFUL
S,5,5,,0,SUCCESSFUL
S,6,6,,0,SUCCESSFUL
S,7,7,,0,SUCCESSFUL
S,8,8,,0,SUCCESSFUL
S,16,16,,0,SUCCESSFUL
W,1,1,44.58666666666666666666,5.64333333333333333333,SUCCESSFUL
W,2,2,14.81333333333333333333,1.87666666666666666666,SUCCESSFUL
W,3,3,8.73666666666666666666,1.11000000000000000000,SUCCESSFUL
W,4,4,8.37333333333333333333,1.06666666666666666666,SUCCESSFUL
W,5,5,8.23333333333333333333,1.04666666666666666666,SUCCESSFUL
W,6,6,,,SUCCESSFUL
W,7,7,,,SUCCESSFUL
W,8,8,,,SUCCESSFUL
W,16,16,,,SUCCESSFUL
A,1,1,461.55000000000000000000,58.22000000000000000000,SUCCESSFUL
A,2,2,147.13333333333333333333,18.56000000000000000000,SUCCESSFUL
A,3,3,82.23333333333333333333,10.37666666666666666666,SUCCESSFUL
A,4,4,78.95000000000000000000,9.96333333333333333333,SUCCESSFUL
A,5,5,77.10000000000000000000,9.73000000000000000000,SUCCESSFUL
A,6,6,,,SUCCESSFUL
A,7,7,,,SUCCESSFUL
A,8,8,,,SUCCESSFUL
A,16,16,,,SUCCESSFUL
B,1,1,1858.24000000000000000000,234.39000000000000000000,SUCCESSFUL
B,2,2,599.08000000000000000000,75.55666666666666666666,SUCCESSFUL
B,3,3,335.31333333333333333333,42.29666666666666666666,SUCCESSFUL
B,4,4,316.05666666666666666666,39.86666666666666666666,SUCCESSFUL
B,5,5,311.72333333333333333333,39.32000000000000000000,SUCCESSFUL
B,6,6,310.98333333333333333333,39.22333333333333333333,SUCCESSFUL
B,7,7,310.68000000000000000000,39.18666666666666666666,SUCCESSFUL
B,8,8,307.73000000000000000000,38.81666666666666666666,SUCCESSFUL
B,16,16,310.75666666666666666666,39.20000000000000000000,SUCCESSFUL
C,1,1,,,SUCCESSFUL
C,2,2,2407.83000000000000000000,303.70000000000000000000,SUCCESSFUL
C,3,3,1326.52000000000000000000,167.31333333333333333333,SUCCESSFUL
C,4,4,1259.64666666666666666666,158.93666666666666666666,SUCCESSFUL
C,5,5,1247.34333333333333333333,157.31666666666666666666,SUCCESSFUL
C,6,6,1244.12000000000000000000,156.95333333333333333333,SUCCESSFUL
C,7,7,1250.08666666666666666666,157.65666666666666666666,SUCCESSFUL
C,8,8,1252.73666666666666666666,158.05000000000000000000,SUCCESSFUL
C,16,16,1261.21666666666666666666,159.08000000000000000000,SUCCESSFUL
