Class,Xstreams,Threads,Time(s),Time(nanos),Status
S,1,1,.11000000000000000000,109312000.00000000000000000000,SUCCESSFUL
S,2,2,.10666666666666666666,59670000.00000000000000000000,SUCCESSFUL
S,3,3,1.11333333333333333333,292184666.66666666666666666666,SUCCESSFUL
S,4,4,.49333333333333333333,248675000.00000000000000000000,SUCCESSFUL
S,5,5,,,SUCCESSFUL
S,6,6,,,SUCCESSFUL
S,7,7,,,SUCCESSFUL
S,8,8,,,SUCCESSFUL
S,16,16,,,SUCCESSFUL
W,1,1,3.92666666666666666666,3929325333.33333333333333333333,SUCCESSFUL
W,2,2,4.25000000000000000000,1151128000.00000000000000000000,SUCCESSFUL
W,3,3,8.95333333333333333333,3546178666.66666666666666666666,SUCCESSFUL
W,4,4,9.51666666666666666666,5291474666.66666666666666666666,SUCCESSFUL
W,5,5,10.22333333333333333333,2346584000.00000000000000000000,SUCCESSFUL
W,6,6,11.52333333333333333333,4562841333.33333333333333333333,SUCCESSFUL
W,7,7,12.62333333333333333333,9793158333.33333333333333333333,SUCCESSFUL
W,8,8,13.97000000000000000000,16552012666.66666666666666666666,SUCCESSFUL
W,16,16,30.49666666666666666666,128693776666.66666666666666666666,SUCCESSFUL
A,1,1,39.27666666666666666666,39279512000.00000000000000000000,SUCCESSFUL
A,2,2,41.78333333333333333333,14239599666.66666666666666666666,SUCCESSFUL
A,3,3,75.56000000000000000000,22017437000.00000000000000000000,SUCCESSFUL
A,4,4,76.99333333333333333333,28663018666.66666666666666666666,SUCCESSFUL
A,5,5,77.94000000000000000000,21266714666.66666666666666666666,SUCCESSFUL
A,6,6,78.68000000000000000000,25385146333.33333333333333333333,SUCCESSFUL
A,7,7,80.91333333333333333333,56075507333.33333333333333333333,SUCCESSFUL
A,8,8,82.86000000000000000000,35264791666.66666666666666666666,SUCCESSFUL
A,16,16,100.55333333333333333333,248811537666.66666666666666666666,SUCCESSFUL
B,1,1,160.97000000000000000000,160976500666.66666666666666666666,SUCCESSFUL
B,2,2,176.51666666666666666666,74114538000.00000000000000000000,SUCCESSFUL
B,3,3,300.64666666666666666666,100156919000.00000000000000000000,SUCCESSFUL
B,4,4,309.04666666666666666666,68528797666.66666666666666666666,SUCCESSFUL
B,5,5,313.04333333333333333333,122300792333.33333333333333333333,SUCCESSFUL
B,6,6,316.45666666666666666666,178001363666.66666666666666666666,SUCCESSFUL
B,7,7,321.90000000000000000000,111425763666.66666666666666666666,SUCCESSFUL
B,8,8,325.14666666666666666666,155251335000.00000000000000000000,SUCCESSFUL
B,16,16,353.56666666666666666666,237840460333.33333333333333333333,SUCCESSFUL
C,1,1,650.32000000000000000000,650353426333.33333333333333333333,SUCCESSFUL
C,2,2,685.61000000000000000000,229126503000.00000000000000000000,SUCCESSFUL
C,3,3,1210.20000000000000000000,343825358000.00000000000000000000,SUCCESSFUL
C,4,4,1261.85000000000000000000,333198254000.00000000000000000000,SUCCESSFUL
C,5,5,1271.83333333333333333333,545727381666.66666666666666666666,SUCCESSFUL
C,6,6,1280.81000000000000000000,655313083333.33333333333333333333,SUCCESSFUL
C,7,7,1292.65000000000000000000,493222262000.00000000000000000000,SUCCESSFUL
C,8,8,1294.74666666666666666666,604478036333.33333333333333333333,SUCCESSFUL
C,16,16,1349.62000000000000000000,638427772000.00000000000000000000,SUCCESSFUL
